id,title,normalized_title,level,category,company,location,salary,full_time,part_time,internship,temporary,updated,collected_at
8267978952059456941,iOS Developer,ios developer,Middle,Mobile Developer,Playtech,Київ,,1,0,0,0,2026-04-30,2026-05-16
1647917173284870703,First Mobile Engineer (React Native) -TENTENS Tech,first mobile engineer react native -tentens tech,Middle,Mobile Developer,SKELAR,Київ,,1,0,0,0,2026-05-13,2026-05-16
-783342274645155259,Middle/Senior Golang Developer,middle senior golang developer,Middle,Backend Developer,Gameinspire,Київ,,1,0,0,0,2026-05-15,2026-05-16
-101520365704874291,Data Analyst,data analyst,Middle,Data Analyst,Brainstack,Київ,,1,0,0,0,2026-04-08,2026-05-16
-7639662677295078641,Full-Stack Developer (NXJ-105),full-stack developer nxj-105,Middle,Full Stack Developer,Newxel,Київ,,1,0,0,0,2026-04-20,2026-05-16
9171232007919585273,Business Analyst (Middle) Video team,business analyst middle video team,Middle,Business Analyst,Ajax Systems,Київ,,1,0,0,0,2026-05-12,2026-05-16
8004962723386413615,Data Analyst,data analyst,Middle,Data Analyst,Liven,Київ,,1,0,0,0,2026-05-13,2026-05-16
-4173918755813932650,Team Lead Backend Engineer (Node.js),team lead backend engineer node.js,Senior,Backend Developer,Miratech,Київ,,1,0,0,0,2026-05-11,2026-05-16
-2498598027014692049,Senior Business Analyst (2910),senior business analyst 2910,Senior,Business Analyst,Ciklum,Київ,,1,0,0,0,2026-04-29,2026-05-16
-1835508591337371805,Senior / Tech Lead Mobile Engineer — New Business,senior tech lead mobile engineer new business,Senior,Mobile Developer,SKELAR,Київ,,1,0,0,0,2026-04-10,2026-05-16
-6084449144472613168,Middle Android Developer,middle android developer,Middle,Mobile Developer,TechMagic,Київ,,1,0,0,0,2026-04-22,2026-05-16
-678328359507090840,Senior Software Engineer (.NET),senior software engineer .net,Senior,Software / Embedded Engineer,Sombra,Київ,,1,0,0,0,2026-05-11,2026-05-16
