id,title,company,location,salary,type,source,link,snippet,updated,collected_at
5617916980450933187,Senior Java Developer (monoбізнес),mono,Київ,,,dou.ua,https://ua.jooble.org/jdp/5617916980450933187,"12 травня 2026 Senior Java Developer (monoбізнес) Київ, Дніпро, віддалено Це ми: mono — мультипродуктова IT компанія з України. Із 2017 року мільйони людей муркочуть від наших продуктів: monobank, monoбізнес, Expirenza, Base, а тепер і monoмаркет....",2026-05-12,2026-05-18
5978502672108699246,Middle Java Engineer with Python skills (#5037),N-iX,Київ,,,dou.ua,https://ua.jooble.org/jdp/5978502672108699246,"9 травня 2026 Middle Java Engineer with Python skills (#5037) Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено N-iX is looking for a highly skilled Middle Java Engineer with additional experience in Python to join our team. The primary...",2026-05-09,2026-05-18
268987695025838464,Account Manager Top Accounts Ukraine,Glovo,Київ,,Повний робочий день,smartrecruiters.com,https://ua.jooble.org/jdp/268987695025838464,"...ethnicities, and backgrounds, are less likely to apply for this role if they do not possess solid experience in 100% of these areas. Even if it seems you don't meet our musts don't let it stop you, we are all about finding the best talent out there! Skills can be learned, and...",2026-05-06,2026-05-18
3747975414751770528,Middle Back End Developer (B2C) (.Net) (ID 420),HELSI,Київ,,,dou.ua,https://ua.jooble.org/jdp/3747975414751770528,"13 травня 2026 Middle Back End Developer (B2C) (.Net) (ID 420) Київ, віддалено Helsi — українська продуктова ІТ-компанія, що працює на ринку з 2016 року. Мета Helsi — доступ до здоров’я в одному інтерфейсі. Сервіс дозволяє пацієнтам швидко та зручно записуватися...",2026-05-13,2026-05-18
561907541621697093,Senior Python Developer,Центр інновацій та розвитку оборонних технологій МОУ,Київ,,,dou.ua,https://ua.jooble.org/jdp/561907541621697093,"1 травня 2026 deftech сили оборони Senior Python Developer Київ Центр інновацій та розвитку оборонних технологій Міністерства оборони України — підрозділ, що розробляє цифрові рішення для Сил оборони та поєднує найкращих фахівців цивільного ІТ і військових...",2026-05-01,2026-05-18
8719851524633228190,Intern Front-End/Back-End Developer,Itera,Київ,,,dou.ua,https://ua.jooble.org/jdp/8719851524633228190,"27 квітня 2026 Intern Front-End/Back-End Developer Київ, Львів Founded in 1998, Itera is one of the most experienced technology companies in the Nordics. At Itera we share a commitment to make a positive difference by applying our expertise to projects that...",2026-04-27,2026-05-18
6540869098790050946,Machine Learning Team Lead,TemaBit Fozzy Group,Київ,,,dou.ua,https://ua.jooble.org/jdp/6540869098790050946,"15 травня 2026 Machine Learning Team Lead Київ TemaBit Fozzy Group — команда фанатів технологій, які змінюють користувацький досвід українців. TemaBit є частиною Fozzy Group — однієї з найбільших бізнес-груп України. Розробками команди щодня користуються...",2026-05-15,2026-05-18
516677813490190117,Python Developer,Ajax Systems,Київ,,,dou.ua,https://ua.jooble.org/jdp/516677813490190117,"30 квітня 2026 Python Developer Київ Ajax Systems — міжнародна технологічна компанія, найбільший в Європі виробник охоронних систем. Продуктам Ajax довіряють понад 4,5 мільйони користувачів у більш ніж 180 країнах. В портфоліо компанії 280 пристроїв для ...",2026-04-30,2026-05-18
-8299991558589820929,Software Developer (C++ or Delphi),3Shape,Київ,,,teamtailor.com,https://ua.jooble.org/jdp/-8299991558589820929,"...Engineering or similar field ~ Confident in English Would be a plus: ~ Passionate about software design ~3D computer graphics and its related mathematics ~ Experience with C# ~ Experience with SQL Agile practices, including test-driven development, continuous...",2026-04-28,2026-05-18
-1619501262804337717,DevOps,GORILLA.UA,Київ,,,dou.ua,https://ua.jooble.org/jdp/-1619501262804337717,"6 травня 2026 DevOps Київ Якщо ти мрієш працювати в індустрії, де драйв, азарт та інновації йдуть пліч-о-пліч, приєднуйся до нас та допоможи нам творити магію! Що потрібно від тебе: ~5+ роки на позиції DevOps Engineer ~ Управління хмарною інфраструктурою...",2026-05-06,2026-05-18
307802809850678316,Web QA Engineer (Kyiv based),Reface,Київ,,,dou.ua,https://ua.jooble.org/jdp/307802809850678316,"20 квітня 2026 Web QA Engineer (Kyiv based) Київ Reface шукає Web QA Engineer Якщо ти хочеш тестувати Gen AI додатки, якими користуються мільйони юзерів по всьому світу — ми нетерпляче чекаємо на твоє резюме! Reface — українська продуктова компанія, ...",2026-04-20,2026-05-18
-3992950195283916315,SMM Specialist,,Київ,,,netpeak.ua,https://ua.jooble.org/jdp/-3992950195283916315,"Професійні навички: Досвід роботи SMM-спеціалістом від 1 року з реальними кейсами росту акаунтів (особисті бренди, експертний контент, B2B або інше). Монтаж відео для соцмереж (Reels, TikTok, Shorts). Створення креативів — постів, каруселей, обкладинок. Маєш стиль...",2026-04-24,2026-05-18
6710185165001119921,SMM-менеджер,Meet Up Trust,Київ,25 000 - 40 000 грн,Повний робочий день,jooble,https://ua.jooble.org/jdp/6710185165001119921,"Рекрутингове агенство «Meet UP Trust» - це посередник між роботодавцем і претендентом вакансії, свого роду буфер, що є гарантом того, що компанія отримає саме такого фахівця, який їй необхідний. Шукаємо талановитого та креативного SMM-менеджера для роботи у нашій компані...",2026-05-13,2026-05-18
